,Year,Brand,Model,Cost,City,State,Mileage,Accident,Body,Engine,Owners,Usefor,Services
0,2020,Toyota,Sienna_LE, 33988, Pompton Plains, NJ ,15670,No Accident or Damage Reported,Minivan,Silver_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Corporate Use,1
1,2018,Toyota,RAV4_SE, 28995, Newton, NJ ,28243,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,6
2,2019,Toyota,Camry_LE, 19895, Union, NJ ,58793,Damage Reported,Sedan,White_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,0
3,2020,Toyota,GR_Supra_Premium, 55795, Yonkers, NY ,909,No Accident or Damage Reported,Coupe,6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,7
4,2021,Toyota,GR_Supra_Premium, 55900, Kearny, NJ ,2700,No Accident or Damage Reported,Coupe,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,2
5,2018,Toyota,Camry_LE, 19900, Lakewood, NJ ,52914,No Accident or Damage Reported,Sedan,Gray_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,12
6,2018,Toyota,Camry_XSE, 24888, Whippany, NJ ,59680,No Accident or Damage Reported,Sedan,Silver_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,2
7,2020,Toyota,Camry_SE, 28468, Cos Cob, CT ,13121,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,6
8,2019,Toyota,C-HR_XLE, 23880, Mamaroneck, NY ,15633,No Accident or Damage Reported,SUV,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
9,2018,Toyota,Highlander_XLE, 34444, Fair Lawn, NJ ,26768,No Accident or Damage Reported,SUV,Green_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,4
10,2018,Toyota,RAV4_XLE, 24900, Hackettstown, NJ ,38964,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,9
11,2018,Toyota,Tacoma_TRD_Sport, 37987, Ringoes, NJ ,35567,No Accident or Damage Reported,Pickup,Blue_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,10
12,2020,Toyota,Camry_XSE, 28000, Whippany, NJ ,27445,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,7
13,2016,Toyota,Highlander_XLE, 24990, Brooklyn, NY ,107810,No Accident or Damage Reported,SUV,Black_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,23
14,2018,Toyota,Highlander_XLE, 33810, Ocean, NJ ,32876,No Accident or Damage Reported,SUV,Silver_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,6
15,2018,Toyota,Highlander_LE, 31011, Ledgewood, NJ ,24734,No Accident or Damage Reported,SUV,Gray_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,7
16,2020,Toyota,86_Hakone_Edition, 31992, Springfield, NJ ,13979,No Accident or Damage Reported,Coupe,Green_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,6
17,2017,Toyota,Tacoma_TRD_Off_Road, 32581, Cos Cob, CT ,65469,No Accident or Damage Reported,Pickup,Beige_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,9
18,2018,Toyota,RAV4_XLE, 29791, Smithtown, NY ,13740,No Accident or Damage Reported,SUV,4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,7
19,2002,Toyota,Sienna, 4999, Lindenhurst, NY ,145204,No Accident or Damage Reported,Minivan,Blue_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,2
20,2018,Toyota,4Runner_Limited_Edition, 43489, Freehold, NJ ,32091,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_4.0_L_,CARFAX 1-Owner,Personal Use,5
21,2019,Toyota,Camry_XSE, 27969, New York, NY ,24438,No Accident or Damage Reported,Sedan,Silver_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,16
22,2018,Toyota,RAV4_XLE, 23869, New York, NY ,39422,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,11
23,2019,Toyota,4Runner_SR5, 42427, Cos Cob, CT ,15274,No Accident or Damage Reported,SUV,Silver_Engine:_6_Cyl_4.0_L_,CARFAX 1-Owner,Personal Use,10
24,2018,Toyota,C-HR_XLE, 19666, Linden, NJ ,34455,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
25,2018,Toyota,Highlander_LE, 26995, Scarsdale, NY ,45384,No Accident or Damage Reported,SUV,Black_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,4
26,2018,Toyota,Highlander_XLE, 33295, Mount Kisco, NY ,33048,No Accident or Damage Reported,SUV,Silver_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,9
27,2018,Toyota,Highlander_LE, 30232, Brooklyn, NY ,15951,No Accident or Damage Reported,SUV,Black_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,8
28,2021,Toyota,Camry_XSE, 32990, Ridgefield, CT ,2380,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,3
29,2017,Toyota,Highlander_XLE, 29595, Flushing, NY ,41257,No Accident or Damage Reported,SUV,Silver_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,5
30,2018,Toyota,Camry_LE, 20918, Ledgewood, NJ ,40197,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,12
31,2019,Toyota,Sienna_XLE, 32000, White Plains, NY ,48728,No Accident or Damage Reported,Minivan,Gray_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,16
32,2020,Toyota,Camry_SE, 27495, Amityville, NY ,2661,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,7
33,2018,Toyota,Corolla_L, 17995, Saint James, NY ,35231,No Accident or Damage Reported,Sedan,4_Cyl_1.8_L_,CARFAX 1-Owner,Personal Use,11
34,2013,Toyota,4Runner_Limited_Edition, 25912, Jamaica, NY ,92688,No Accident or Damage Reported,SUV,Red_Engine:_6_Cyl_4.0_L_,CARFAX 1-Owner,Personal Use,10
35,2018,Toyota,RAV4_XLE, 24366, Ledgewood, NJ ,43431,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,12
36,2018,Toyota,Tacoma, 31995, East Hanover, NJ ,69581,No Accident or Damage Reported,Pickup,Orange_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,13
37,2018,Toyota,RAV4_XLE, 24469, New York, NY ,21376,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,7
38,2017,Toyota,Camry_XSE, 15995, Irvington, NJ ,111753,No Accident or Damage Reported,Sedan,4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,11
39,2018,Toyota,Highlander_XLE, 33898, Edison, NJ ,27245,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,3
40,2021,Toyota,Camry_LE, 23995, Valley Stream, NY ,13617,No Accident or Damage Reported,Sedan,Silver_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,5
41,2016,Toyota,4Runner_SR5, 34888, Mamaroneck, NY ,43386,No Accident or Damage Reported,SUV,Black_Engine:_6_Cyl_4.0_L_,CARFAX 1-Owner,Personal Use,7
42,2018,Toyota,Tundra_SR5, 35986, Lakewood, NJ ,42196,No Accident or Damage Reported,Pickup,Black_Engine:_8_Cyl_4.6_L_,CARFAX 1-Owner,Personal Use,5
43,2020,Toyota,Camry_XSE, 32880, Mamaroneck, NY ,6293,No Accident or Damage Reported,Sedan,Blue_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Commercial Use,2
44,2018,Toyota,Camry_SE, 22999, Brooklyn, NY ,11945,No Accident or Damage Reported,Sedan,Gray_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,6
45,2018,Toyota,Camry_XLE, 24995, Denville, NJ ,9605,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,9
46,2019,Toyota,Highlander_XLE, 34980, Wayne, NJ ,28912,No Accident or Damage Reported,SUV,Black_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,5
47,2018,Toyota,RAV4_XLE, 25850, Whippany, NJ ,34578,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,7
48,2018,Toyota,Highlander_XLE, 33795, Pt Pleasant, NJ ,25976,No Accident or Damage Reported,SUV,Gray_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,7
